Equipo,Codigo,Asociacion,Ranking
Brazil,BRA,CONMEBOL,1
Belgium,BEL,UEFA,2
Argentina,ARG,CONMEBOL,3
France,FRA,UEFA,4
England,ENG,UEFA,5
Italy,ITA,UEFA,6
Spain,ESP,UEFA,7
Netherlands,NED,UEFA,8
Portugal,POR,UEFA,9
Denmark,DEN,UEFA,10
Germany,GER,UEFA,11
Croatia,CRO,UEFA,12
Mexico,MEX,CONCACAF,13
Uruguay,URU,CONMEBOL,14
Switzerland,SUI,UEFA,15
United States,USA,CONCACAF,16
Colombia,COL,CONMEBOL,17
Senegal,SEN,CAF,18
Wales,WAL,UEFA,19
IR Iran,IRN,AFC,20
Serbia,SRB,UEFA,21
Morocco,MAR,CAF,22
Peru,PER,CONMEBOL,23
Japan,JPN,AFC,24
Sweden,SWE,UEFA,25
Poland,POL,UEFA,26
Ukraine,UKR,UEFA,27
Korea Republic,KOR,AFC,28
Chile,CHI,CONMEBOL,29
Tunisia,TUN,CAF,30
Costa Rica,CRC,CONCACAF,31
Nigeria,NGA,CAF,32
Russia,RUS,UEFA,33
Austria,AUT,UEFA,34
Czechia,CZE,UEFA,35
Hungary,HUN,UEFA,36
Algeria,ALG,CAF,37
Australia,AUS,AFC,38
Egypt,EGY,CAF,39
Scotland,SCO,UEFA,40
Canada,CAN,CONCACAF,41
Norway,NOR,UEFA,42
Cameroon,CMR,CAF,43
Ecuador,ECU,CONMEBOL,44
Türkiye,TUR,UEFA,45
Mali,MLI,CAF,46
Paraguay,PAR,CONMEBOL,47
Côte d'Ivoire,CIV,CAF,48
Republic of Ireland,IRL,UEFA,49
Qatar,QAT,AFC,50
Saudi Arabia,KSA,AFC,51
Greece,GRE,UEFA,52
Romania,ROU,UEFA,53
Burkina Faso,BFA,CAF,54
Slovakia,SVK,UEFA,55
Finland,FIN,UEFA,56
Venezuela,VEN,CONMEBOL,57
Bosnia and Herzegovina,BIH,UEFA,58
Northern Ireland,NIR,UEFA,59
Panama,PAN,CONCACAF,60
Ghana,GHA,CAF,61
Iceland,ISL,UEFA,62
Slovenia,SVN,UEFA,63
Jamaica,JAM,CONCACAF,64
North Macedonia,MKD,UEFA,65
Albania,ALB,UEFA,66
South Africa,RSA,CAF,67
Iraq,IRQ,AFC,68
Montenegro,MNE,UEFA,69
United Arab Emirates,UAE,AFC,70
Cabo Verde,CPV,CAF,71
Bulgaria,BUL,UEFA,72
Congo DR,COD,CAF,73
El Salvador,SLV,CONCACAF,74
Oman,OMA,AFC,75
Israel,ISR,UEFA,76
Uzbekistan,UZB,AFC,77
Georgia,GEO,UEFA,78
China PR,CHN,AFC,79
Honduras,HON,CONCACAF,80
Gabon,GAB,CAF,81
Bolivia,BOL,CONMEBOL,82
Guinea,GUI,CAF,83
Jordan,JOR,AFC,84
Bahrain,BHR,AFC,85
Curaçao,CUW,CONCACAF,86
Haiti,HAI,CONCACAF,87
Zambia,ZAM,CAF,88
Uganda,UGA,CAF,89
Syria,SYR,AFC,90
Benin,BEN,CAF,91
Luxembourg,LUX,UEFA,92
Armenia,ARM,UEFA,93
Palestine,PLE,AFC,94
Kyrgyz Republic,KGZ,AFC,95
Vietnam,VIE,AFC,96
Belarus,BLR,UEFA,97
Equatorial Guinea,EQG,CAF,98
Lebanon,LBN,AFC,99
Congo,CGO,CAF,100
Kenya,KEN,CAF,101
Madagascar,MAD,CAF,102
Mauritania,MTN,CAF,103
Trinidad and Tobago,TRI,CONCACAF,104
New Zealand,NZL,OFC,105
India,IND,AFC,106
Kosovo,KOS,UEFA,107
Tajikistan,TJK,AFC,108
Estonia,EST,UEFA,109
Cyprus,CYP,UEFA,110
Thailand,THA,AFC,111
Korea DPR,PRK,AFC,112
Kazakhstan,KAZ,UEFA,113
Mozambique,MOZ,CAF,114
Namibia,NAM,CAF,115
Guinea-Bissau,GNB,CAF,116
Sierra Leone,SLE,CAF,117
Guatemala,GUA,CONCACAF,118
Angola,ANG,CAF,119
Libya,LBY,CAF,120
Niger,NIG,CAF,121
Faroe Islands,FRO,UEFA,122
Azerbaijan,AZE,UEFA,123
Malawi,MWI,CAF,124
Zimbabwe,ZIM,CAF,125
The Gambia,GAM,CAF,126
Togo,TOG,CAF,127
Sudan,SDN,CAF,128
Comoros,COM,CAF,129
Tanzania,TAN,CAF,130
Antigua and Barbuda,ATG,CONCACAF,131
Central African Republic,CTA,CAF,132
Philippines,PHI,AFC,133
Latvia,LVA,UEFA,134
Turkmenistan,TKM,AFC,135
Solomon Islands,SOL,OFC,136
Rwanda,RWA,CAF,137
Ethiopia,ETH,CAF,138
Suriname,SUR,CONCACAF,139
St Kitts and Nevis,SKN,CONCACAF,140
Burundi,BDI,CAF,141
Nicaragua,NCA,CONCACAF,142
Eswatini,SWZ,CAF,143
Lithuania,LTU,UEFA,144
Hong Kong,HKG,AFC,145
Malaysia,MAS,AFC,146
Lesotho,LES,CAF,147
Botswana,BOT,CAF,148
Kuwait,KUW,AFC,149
Liberia,LBR,CAF,150
Andorra,AND,UEFA,151
Indonesia,IDN,AFC,152
Dominican Republic,DOM,CONCACAF,153
Maldives,MDV,AFC,154
Yemen,YEM,AFC,155
Afghanistan,AFG,AFC,156
Chinese Taipei,TPE,AFC,157
Myanmar,MYA,AFC,158
Papua New Guinea,PNG,OFC,159
Singapore,SGP,AFC,160
New Caledonia,NCL,OFC,161
Tahiti,TAH,OFC,162
Fiji,FIJ,OFC,163
Vanuatu,VAN,OFC,164
South Sudan,SSD,CAF,165
Barbados,BRB,CONCACAF,166
Cuba,CUB,CONCACAF,167
Malta,MLT,UEFA,168
Bermuda,BER,CONCACAF,169
Puerto Rico,PUR,CONCACAF,170
Guyana,GUY,CONCACAF,171
St Lucia,LCA,CONCACAF,172
Grenada,GRN,CONCACAF,173
Moldova,MDA,UEFA,174
Nepal,NEP,AFC,175
Belize,BLZ,CONCACAF,176
Cambodia,CAM,AFC,177
St Vincent and the Grenadines,VIN,CONCACAF,178
Montserrat,MSR,CONCACAF,179
Mauritius,MRI,CAF,180
Chad,CHA,CAF,181
Macau,MAC,AFC,182
Mongolia,MNG,AFC,183
Dominica,DMA,CONCACAF,184
Bhutan,BHU,AFC,185
São Tomé and Príncipe,STP,CAF,186
Laos,LAO,AFC,187
American Samoa,ASA,OFC,188
Cook Islands,COK,OFC,189
Brunei Darussalam,BRU,AFC,190
Samoa,SAM,OFC,191
Bangladesh,BAN,AFC,192
Djibouti,DJI,CAF,193
Pakistan,PAK,AFC,194
Cayman Islands,CAY,CONCACAF,195
Liechtenstein,LIE,UEFA,196
Tonga,TGA,OFC,197
Timor-Leste,TLS,AFC,198
Seychelles,SEY,CAF,199
Eritrea,ERI,CAF,200
Aruba,ARU,CONCACAF,201
Bahamas,BAH,CONCACAF,202
Somalia,SOM,CAF,203
Gibraltar,GIB,UEFA,204
Guam,GUM,AFC,205
Turks and Caicos Islands,TCA,CONCACAF,206
Sri Lanka,SRI,AFC,207
US Virgin Islands,VIR,CONCACAF,208
British Virgin Islands,VGB,CONCACAF,209
Anguilla,AIA,CONCACAF,210
San Marino,SMR,UEFA,211
